Index #,Group,Company Name,Chemistry_Detail,Chemistry,Format,Part #,Cell Status,Cell Shape,Cycle Life,Last Cycle  OF Initial Capacity,vol. Energy Density (Wh/l),grav. Energy Density (Wh/kg),Max Capacity (AH),Open Circuit Voltage (V),Nominal Voltage (V),Cut Off Voltage (V),Standard Discharge Current (A),Max Constant Discharge Current (A),Crate_discharge_cyclelife,Weight (gr),Volume (CC),Fast/Quick Charge Current,Standard Charge Current (A),Crate_charge_cyclelife,t_rest_h,Length (mm),Height (mm),Width (mm),Diameter (mm),Jahr,Datenblatt,Sekundärquelle,ID / Date,Anmerkung,Charging Methode,Crate_CV_cutoff,t_cycle_DOD
ISI-126,ISI-126,SKI,Nickel rich,,PouchCase,SKI Kia Niro,Active,PrismaticCase,1000,80,607,257,60,4.35,3.6,2.75,30,120,1,899.3,,60,30,1,'Nan',300,15,108.5,'Nan',2019,,x,,,CC-CV,'Nan','Nan'
ISI-127,ISI-127,CALB,Nickel rich,LithiumNickelManganeseCobaltOxide,PrismaticCase,L148N50B,Active,PrismaticCase,2000,80,'Nan',212,50,4.35,3.66,2.75,25,50,1,861,,50,25,1,'Nan',148,26.5,97.5,'Nan',2019,x,,10.2019,,CC-CV,'Nan',80
ISI-128,ISI-128,CALB,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,L135F72 (CAM72),Active,PrismaticCase,2000,80,'Nan',132,72,3.65,3.2,2.5,36,72,1,1780,,72,36,1,'Nan',215,30,135,'Nan',2019,x,,10.2019,,CC-CV,'Nan',80
ISI-129,ISI-129,CALB,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,L160F100B,Active,PrismaticCase,3000,80,'Nan',160,100,3.65,3.2,2.5,50,100,1,1970,,100,50,1,'Nan',160,49.9,116,'Nan',2019,x,,10.2019,,CC-CV,'Nan',80
ISI-130,ISI-130,CALB,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,LFP176Ah,Active,PrismaticCase,2000,80,'Nan',141,176,3.65,3.2,2.5,88,176,1,3984,,176,88,1,'Nan',207,53.7,174,'Nan',2019,x,,10.2019,,CC-CV,'Nan',80
ISI-131,ISI-131,CALB,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,26650FS3,Active,PrismaticCase,2000,80,'Nan',129,3.6,3.65,3.2,2,1.8,10.8,0.5,89,,5.4,1.8,0.5,'Nan','Nan',65,,26,2019,x,,10.2019,,CC-CV,'Nan',80
ISI-132,ISI-132,Samsung,Nickel rich,,PrismaticCase,CS0495RT001A,Active,PrismaticCase,'Nan','Nan',488,208,49.5,4.35,3.6,2.75,24.75,49.5,1,866,,49.5,24.75,1,'Nan',148,27,91,'Nan',2019,,x,17.02.2022,Batemo,CC-CV,'Nan','Nan'
ISI-133,ISI-133,BAK,Nickel rich,,CylindricalCase,N21700CG-50,Active,CylindricalCase,800,80,704,260,5,4.2,3.6,2.5,2.5,15,1,70,,5,2.5,0.5,'Nan','Nan',70,,21,2020,,x,22.04.2020,Batemo,CC-CV,0.01,'Nan'
ISI-134,ISI-134,Panasonic,Nickel rich,,CylindricalCase,NCR2170‑M,Active,CylindricalCase,'Nan','Nan',755,271,5.02,4.2,3.6,2.5,2.51,15.8,1,70,,5.02,2.51,0.5,'Nan','Nan',70,,21,2020,,x,01.09.2021,Batemo,CC-CV,'Nan','Nan'
ISI-135,ISI-135,Molicel,Nickel rich,,CylindricalCase,INR-21700-P42B,Active,CylindricalCase,800,80,601,226,4.2,4.2,3.6,2.5,4.2,26,1,70,,6,4.2,1,'Nan','Nan',70,,21,,,x,-,Batemo,CC-CV,0.01,'Nan'
ISI-136,ISI-136,Molicel,Nickel rich,,CylindricalCase,INR-21700-P42A,Active,CylindricalCase,800,80,615,230,4.2,4.2,3.6,2.5,4.2,26,2.5,70,,6,4.2,1,'Nan','Nan',70,,21,,,x,-,Batemo,CC-CV,0.01,'Nan'
ISI-137,ISI-137,Samsung,Nickel rich,,CylindricalCase,INR-21700-50S,Active,CylindricalCase,'Nan','Nan',742,260,5,4.2,3.6,2.5,5,20,1,72,,6,2.5,1,'Nan','Nan',70,,21,2020,,x,-,Batemo,CC-CV,'Nan','Nan'
