Index #,Group,Company Name,Chemistry_Detail,Chemistry,Format,Part #,Cell Status,Cell Shape,Cycle Life,Last Cycle  OF Initial Capacity,vol. Energy Density (Wh/l),grav. Energy Density (Wh/kg),Max Capacity (AH),Open Circuit Voltage (V),Nominal Voltage (V),Cut Off Voltage (V),Standard Discharge Current (A),Max Constant Discharge Current (A),Crate_discharge_cyclelife,Weight (gr),Volume (CC),Fast/Quick Charge Current,Standard Charge Current (A),Crate_charge_cyclelife,t_rest_h,Length (mm),Height (mm),Width (mm),Diameter (mm),Jahr,Datenblatt,Sekundärquelle,ID / Date,Anmerkung,Charging Methode,Crate_CV_cutoff,t_cycle_DOD
ISI-191,ISI-191,EVE Energy,Nickel rich,LithiumNickelManganeseCobaltOxide,PrismaticCase,INP80E,Active,PrismaticCase,2000,80,'Nan','Nan',80,4.2,3.65,2.7,16,160,1,1320,,80,16,1,'Nan',148,39,97,'Nan',2022,,x,,,CC-CV,'Nan','Nan'
ISI-192,ISI-192,EVE Energy,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,LF50,Active,PrismaticCase,3500,80,'Nan','Nan',50,3.65,3.2,2,10,50,1,1380,,50,10,1,'Nan',185,30,135,'Nan',2022,,x,,,CC-CV,'Nan','Nan'
ISI-193,ISI-193,EVE Energy,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,LF56K,Active,PrismaticCase,3500,80,'Nan','Nan',56,3.65,3.2,2,11.2,56,1,1450,,56,11.2,1,'Nan',185,30,135,'Nan',2022,,x,,,CC-CV,'Nan','Nan'
ISI-194,ISI-194,EVE Energy,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,LF75,Active,PrismaticCase,3500,80,'Nan','Nan',75,3.65,3.2,2,15,75,1,1880,,75,15,1,'Nan',200,36,130,'Nan',2022,,x,,,CC-CV,'Nan','Nan'
SDL-01248,SDL-01248,Saft,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,CylindricalCase,VL 34570,Active,CylindricalCase,500,70,380,160,5.4,4.2,3.7,2.5,1.1,11,'Nan',125,52.8197,5.4,1.1,'Nan','Nan','Nan',59.43,,34.2,2007,x,,07.2019,,CC-CV,'Nan',100
SDL-02926,SDL-02926,Kokam,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,SLPB50106100,Active,PrismaticCase,800,80,'Nan','Nan',5,4.2,3.7,2.7,2.5,10,1,115,53,5,1,1,'Nan',106,5,100,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-02927,SDL-02927,Kokam,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,SLPB75106100,Active,PrismaticCase,800,80,'Nan',173,7.5,4.2,3.7,2.7,3.75,15,1,155,79.5,7.5,1.5,1,'Nan',106,7.5,100,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-02928,SDL-02928,Kokam,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,SLPB75106205,Active,PrismaticCase,800,80,'Nan',174,16,4.2,3.7,2.7,8,16,1,330,162.975,16,3.2,1,'Nan',205,7.5,106,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-02929,SDL-02929,Kokam,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,SLPB60216216,Active,PrismaticCase,800,80,'Nan',154,25,4.2,3.7,2.7,12.5,25,0.5,620,307.45,25,5,0.5,'Nan',220,6.5,215,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-02933,SDL-02933,Kokam,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,SLPB70460330,Active,PrismaticCase,800,80,'Nan',179,100,4.2,3.7,2.7,50,100,0.5,2320,1064.7,100,20,0.5,'Nan',455,7.2,325,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-02945,SDL-02945,Kokam,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,SLPB55205130H,Active,PrismaticCase,800,80,'Nan',145,11,4.2,3.7,2.7,5.5,55,0.5,292,149.968,22,2.2,0.5,'Nan',206,5.6,130,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-02946,SDL-02946,Kokam,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,SLPB78216216H,Active,PrismaticCase,800,80,'Nan',158,31,4.2,3.7,2.7,15.5,155,0.5,860,397.32,62,6.2,0.5,'Nan',220,8.4,215,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-02948,SDL-02948,Kokam,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,SLPB60460330H,Active,PrismaticCase,800,80,'Nan',149,70,4.2,3.7,2.7,35,350,0.5,1950,857.675,140,14,0.5,'Nan',455,5.8,325,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-02949,SDL-02949,Kokam,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,SLPB80460330H,Active,PrismaticCase,800,80,'Nan',155,100,4.2,3.7,2.7,50,500,0.5,2700,1197.7875,200,20,0.5,'Nan',455,8.1,325,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-02950,SDL-02950,Kokam,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,SPLB160460330H,Active,PrismaticCase,800,80,'Nan',162,200,4.2,3.7,2.7,100,400,0.5,5260,2513.875,200,40,0.5,'Nan',455,17,325,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-03609,SDL-03609,HYB Battery Co,,,PrismaticCase,IMP206990S,Active,PrismaticCase,400,80,'Nan','Nan',9,4.2,3.7,3,3,27,0.33,310,144.9,4.5,1.8,0.33,'Nan',103,20,69,'Nan',,x,,File No: QP–09–E302 ,,CC-CV,0.02,80
SDL-03617,SDL-03617,HYB Battery Co,,,PrismaticCase,IMP50110140S,Active,PrismaticCase,400,80,'Nan','Nan',60,4.2,3.6,3,12,30,0.33,1850,852.5,30,12,0.33,'Nan',155,50.5,110,'Nan',,x,,-,,CC-CV,0.01,80
SDL-05872,SDL-05872,Advanced Electronics Energy,,,PouchCase,AE8867220PMHRE,Active,PrismaticCase,300,80,'Nan','Nan',10.5,4.2,3.7,2.75,1.94,19.4,0.5,258,129.712,9.7,4.85,0.5,'Nan',220,8.8,67,'Nan',2006,x,,,,CC-CV,0.02,90
SDL-06597,SDL-06597,Yoku Energy (Shenzhen) Co,,,PouchCase,656096,Active,PrismaticCase,300,75,'Nan','Nan',3.6,4.2,3.7,2.75,0.72,3.6,0.2,74,37.44,1.8,0.72,0.2,'Nan',96,6.5,60,'Nan',2011,x,,19.01.2011,,CC-CV,0.05,90
SDL-06600,SDL-06600,Yoku Energy (Shenzhen) Co,,,PouchCase,8235135,Active,PrismaticCase,300,80,'Nan','Nan',3.5,4.2,3.7,2.75,0.7,,0.2,71,38.745,1.75,0.72,0.2,'Nan',136,8.2,35.5,'Nan',2008,x,,10.09.2008,,CC-CV,0.05,'Nan'
SDL-06638,SDL-06638,Yoku Energy (Shenzhen) Co,,,PouchCase,6567100,Active,PrismaticCase,300,75,'Nan','Nan',4,4.2,3.7,2.75,0.75,4,0.2,82,43.55,4,0.75,0.2,'Nan',101,6.7,67.5,'Nan',2011,x,,19.01.2011,,CC-CV,0.05,'Nan'
SDL-06646,SDL-06646,Yoku Energy (Shenzhen) Co,,,PouchCase,7545135,Active,PrismaticCase,300,80,'Nan','Nan',4.2,4.2,3.7,2.75,0.84,4.2,0.2,78,45.5625,4.2,0.84,0.2,'Nan',135,7.5,45,'Nan',2008,x,,25.10.2008,,CC-CV,0.05,'Nan'
SDL-07227,SDL-07227,ATL Amperex Technology,,,PouchCase,5080122,Active,PrismaticCase,500,80,'Nan','Nan',4.53,4.2,3.7,3,0.906,,0.5,106,50.752,4.53,2.26,0.5,'Nan',122,5.2,80,'Nan',2008,,x,11.12.2008,,CC-CV,'Nan','Nan'
SDL-07234,SDL-07234,ATL Amperex Technology,,,PouchCase,8235138,Active,PrismaticCase,500,80,'Nan','Nan',3.8,4.2,3.7,3,0.76,3.8,0.2,85,41.055,3.8,1.9,0.2,'Nan',138,8.5,35,'Nan',2008,,x,11.12.2008,,CC-CV,'Nan','Nan'
SDL-07236,SDL-07236,ATL Amperex Technology,,,PouchCase,8045135,Active,PrismaticCase,500,80,'Nan','Nan',4.4,4.2,3.7,3,0.88,4.4,0.2,95,48.6,4.4,2.2,0.2,'Nan',135,8,45,'Nan',2008,,x,11.12.2008,,CC-CV,'Nan','Nan'
SDL-07237,SDL-07237,ATL Amperex Technology,,,PouchCase,8845135,Active,PrismaticCase,500,80,'Nan','Nan',4.75,4.2,3.7,3,0.95,4.75,0.2,105,54.675,4.75,2.375,0.2,'Nan',135,9,45,'Nan',2008,,x,11.12.2008,,CC-CV,'Nan','Nan'
SDL-07238,SDL-07238,ATL Amperex Technology,,,PouchCase,5048168,Active,PrismaticCase,300,80,'Nan','Nan',3.8,4.2,3.7,3,0.76,3.8,0.2,85,41.405,3.8,1.9,0.2,'Nan',169,5,49,'Nan',2008,,x,16.12.2008,,CC-CV,'Nan','Nan'
SDL-07239,SDL-07239,ATL Amperex Technology,,,PouchCase,6048168,Active,PrismaticCase,300,80,'Nan','Nan',4.2,4.2,3.7,3,0.84,4.2,0.2,100,49.686,4.2,2.1,0.2,'Nan',169,6,49,'Nan',2008,,x,16.12.2008,,CC-CV,'Nan','Nan'
SDL-07240,SDL-07240,ATL Amperex Technology,,,PouchCase,7048168,Active,PrismaticCase,300,80,'Nan','Nan',5.5,4.2,3.7,3,1.1,5.5,0.2,113,62.9356,5.5,2.75,0.2,'Nan',169,7.6,49,'Nan',2008,,x,16.12.2008,,CC-CV,'Nan','Nan'
SDL-09564,SDL-09564,Saft,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,CylindricalCase,VL 12 V,Active,CylindricalCase,2000,80,175,74,12,4.1,3.6,2.75,12,1500,'Nan',640,270,180,12,'Nan','Nan','Nan',173,,47,2007,x,,02.2007,,CC-CV,0.01,100
SDL-09565,SDL-09565,Saft,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,CylindricalCase,VL 34480,Active,CylindricalCase,500,70,380,160,4.4,4.2,3.7,2.5,0.9,8.8,'Nan',103,45.8282,4.4,1.1,'Nan','Nan','Nan',50.8,,33.9,2007,x,,11.2007,,CC-CV,'Nan',100
SDL-09566,SDL-09566,Saft,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,CylindricalCase,VL 37570,Active,CylindricalCase,500,70,385,175,7,4.2,3.7,2.5,1.4,14,'Nan',149,65.3326,7,1.4,'Nan','Nan','Nan',59.5,,37.4,2007,x,,11.2007,,CC-CV,'Nan',100
SDL-12690,SDL-12690,General Electronics Battery Co,,,CylindricalCase,GEB32650,Active,CylindricalCase,600,80,'Nan','Nan',6,4.2,3.7,2.75,3,6,0.2,140,52.2496,3,1.2,0.2,'Nan','Nan',66.5,,32.5,2018,x,,06.03.2019,,CC-CV,'Nan',100
SDL-12800,SDL-12800,Saft,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,CylindricalCase,VL 4V,Active,CylindricalCase,2000,80,100,50,4.4,4.1,3.6,2.5,4.4,500,1,320,161.0466,66,4.4,1,'Nan','Nan',175.4,,34.2,2007,x,,04.2007,,CC-CV,0.01,100
SDL-12801,SDL-12801,Saft,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,CylindricalCase,VL 6A,Active,CylindricalCase,5000,80,'Nan','Nan',6,4.1,3.65,2,12,750,'Nan',340,158.6681,90,6,'Nan','Nan','Nan',165,,35,2007,x,,09.2007,,CC-CV,0.01,100
SDL-12802,SDL-12802,Saft,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,CylindricalCase,VL 8V,Active,CylindricalCase,2000,80,122,65,8.5,4.1,3.6,2.5,8.5,1000,'Nan',470,252.0227,127.5,8.5,'Nan','Nan','Nan',182,,42,2007,x,,04.2007,,CC-CV,0.01,100
SDL-14721,SDL-14721,E-One Moli Energy (Canada) Limited,,,CylindricalCase,IBR-26700A,Active,CylindricalCase,500,80,335,135,3.5,4.2,3.75,2.5,0.7,15,2.9,95,38.298,3.7,0.7,2.9,'Nan','Nan',70,,26.4,2006,x,,09.2006,,CC-CV,'Nan','Nan'
SDL-14857,SDL-14857,Saft,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,CylindricalCase,VL 32600-125,Active,CylindricalCase,200,70,'Nan','Nan',4.5,4.1,3.6,2.5,0.9,2.3,0.2,139,55.5009,2,0.9,0.2,'Nan','Nan',61.85,,32.05,2010,x,,01.2010,,CC-CV,'Nan',100
SDL-14876,SDL-14876,Saft,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,CylindricalCase,VL 34P,Active,CylindricalCase,2000,80,280,120,33,4.1,3.6,2.5,33,500,0.5,940,410,16.5,16.25,0.5,'Nan','Nan',195,,54,2007,x,,06.2007,,CC-CV,'Nan',100
SDL-14955,SDL-14955,Wuhan Lisun Power Corp. Ltd,,,PrismaticCase,IMP225054S,Active,PrismaticCase,400,80,'Nan','Nan',3.5,4.2,3.7,2.75,0.7,3.5,1,155,67.116,1,0.7,1,'Nan',56,23.5,51,'Nan',2006,x,,File No.:Q/LX.S.E.04.022-2006 ,,CC-CV,0.02,'Nan'
SDL-14956,SDL-14956,Wuhan Lisun Power Corp. Ltd,,,PrismaticCase,IMP225058S,Active,PrismaticCase,500,80,'Nan','Nan',4,4.2,3.7,2.75,0.8,4,1,160,71.91,1,0.8,1,'Nan',60,23.5,51,'Nan',2006,x,,File No.:Q/LX.S.E.04.021-2006 ,,CC-CV,0.02,'Nan'
SDL-14957,SDL-14957,Wuhan Lisun Power Corp. Ltd,,,PrismaticCase,ICP174167S,Active,PrismaticCase,500,80,'Nan','Nan',4,4.2,3.7,2.75,0.8,1,1,130,53.613,1,0.8,1,'Nan',69,18.5,42,'Nan',2006,x,,File No.:Q/LX.S.E.04.002-2006 ,,CC-CV,0.02,'Nan'
SDL-14958,SDL-14958,Wuhan Lisun Power Corp. Ltd,,,PrismaticCase,ICP254145S,Active,PrismaticCase,500,80,'Nan','Nan',4,4.2,3.7,2.75,0.8,2,1,115,52.311,1,0.8,1,'Nan',47,25.5,41.5,'Nan',2006,x,,File No.:Q/LX.S.E.04.024-2006 ,,CC-CV,0.02,'Nan'
SDL-14959,SDL-14959,Wuhan Lisun Power Corp. Ltd,,,PrismaticCase,ICP225054S,Active,PrismaticCase,500,80,'Nan','Nan',5,4.2,3.7,2.75,1,1,1,155,67.116,1,1,1,'Nan',56,23.5,51,'Nan',2006,x,,,,CC-CV,0.02,'Nan'
SDL-14960,SDL-14960,Wuhan Lisun Power Corp. Ltd,,,PrismaticCase,IMP225069S,Active,PrismaticCase,500,80,'Nan','Nan',5,4.2,3.7,2.75,1,1,1,195,85.0935,1,1,1,'Nan',71,23.5,51,'Nan',2006,x,,File No.:Q/LX.S.E.04.008-2006 ,,CC-CV,0.02,'Nan'
SDL-14961,SDL-14961,Wuhan Lisun Power Corp. Ltd,,,PrismaticCase,ICP226769S,Active,PrismaticCase,500,80,'Nan','Nan',6.5,4.2,3.7,2.75,1.3,3,1,235,113.458,1,1.3,1,'Nan',71,23.5,68,'Nan',2006,x,,,,CC-CV,0.02,'Nan'
SDL-14962,SDL-14962,Wuhan Lisun Power Corp. Ltd,,,PrismaticCase,ICP225069S,Active,PrismaticCase,500,80,'Nan','Nan',7,4.2,3.7,2.75,1.4,1.4,1,195,85.0935,1.4,1.4,1,'Nan',71,23.5,51,'Nan',2006,x,,File No.:Q/LX.S.E.04.006-2006 ,,CC-CV,0.02,'Nan'
SDL-14963,SDL-14963,Wuhan Lisun Power Corp. Ltd,,,PrismaticCase,ICP226754M,Active,PrismaticCase,500,80,'Nan','Nan',7,4.2,3.7,2.75,7,7,1,210,110.262,7,7,1,'Nan',69,23.5,68,'Nan',2006,x,,File No.:Q/LX.S.E.04.016-2006 ,,CC-CV,0.02,'Nan'
SDL-14964,SDL-14964,Wuhan Lisun Power Corp. Ltd,,,PrismaticCase,ICP226769S,Active,PrismaticCase,500,80,'Nan','Nan',9,4.2,3.7,2.75,1.8,1.8,1,235,113.458,1.8,1.8,1,'Nan',71,23.5,68,'Nan',2006,x,,File No.:Q/LX.S.E.04.010-2006 ,,CC-CV,0.02,'Nan'
SDL-14965,SDL-14965,Wuhan Lisun Power Corp. Ltd,,,PrismaticCase,ICP257054M,Active,PrismaticCase,500,80,'Nan','Nan',9,4.2,3.7,2.75,9,9,1,250,129.8235,9,9,1,'Nan',71,26.5,69,'Nan',2006,x,,File No.:Q/LX.S.E.04.018-2006 ,,CC-CV,0.02,'Nan'
SDL-16572,SDL-16572,Saft,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,CylindricalCase,VL 52E,Active,CylindricalCase,500,80,392,178,52,4.1,3.6,2.75,10.4,52,1,1000,476.1245,52,5.2,1,'Nan','Nan',208,,54,,x,,,,CC-CV,0.01,100
SDL-16776,SDL-16776,Kayo battery co.. ltd,Lithium Iron Phosphate,LithiumIronPhosphate,CylindricalCase,KFL 32650-10P,Active,CylindricalCase,2000,80,'Nan','Nan',3.8,3.65,3.2,2.5,0.76,38,0.5,120,53.8952,3.8,1.52,0.5,'Nan','Nan',65,,32.5,2008,x,,,,CC-CV,'Nan','Nan'
SDL-16777,SDL-16777,Kayo battery co.. ltd,Lithium Iron Phosphate,LithiumIronPhosphate,CylindricalCase,KFL 32650,Active,CylindricalCase,2000,80,'Nan','Nan',4,3.65,3.2,2.5,0.8,12,0.5,125,53.8952,4,1.6,0.5,'Nan','Nan',65,,32.5,2008,x,,,,CC-CV,,
SDL-16819,SDL-16819,GS Yuasa Technology,Lithium Cobalt Oxide,LCO,PrismaticCase,LVP10,Active,PrismaticCase,500,80,195,87,11.5,4.2,3.7,3,1.15,57.5,'Nan',490,218.4,11.5,2.3,'Nan','Nan',130,21,80,'Nan',,x,,-,,CC-CV,,
SDL-16835a,SDL-16835,EAS Batteries,Nickel rich,LithiumNickelCobaltAluminiumOxide,CylindricalCase,HP-601300 LithiumNickelCobaltAluminiumOxide,Active,CylindricalCase,1000,80,264,99,27,4.2,3.6,2.7,54,270,0.5,980,449.334,162,27,0.5,'Nan','Nan',159,,60,2009,x,,06.2009,,CC-CV,0.01,100
SDL-16835b,SDL-16835,EAS Batteries,Nickel rich,LithiumNickelCobaltAluminiumOxide,CylindricalCase,HP-601300 LithiumNickelCobaltAluminiumOxide,Active,CylindricalCase,2000,60,264,99,27,4.2,3.6,2.7,54,270,0.5,980,449.334,162,27,0.5,'Nan','Nan',159,,60,2009,x,,06.2009,,CC-CV,0.01,100
SDL-18448,SDL-18448,Saft,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,PrismaticCase,MP174565,Active,PrismaticCase,600,70,423,175,4.8,4.2,3.75,2.5,1,10,0.5,103,42.5,5,1,1,'Nan',70,18.1,45.5,'Nan',2009,x,,09.2009,,CC-CV,'Nan',100
SDL-18449,SDL-18449,Saft,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,PrismaticCase,MP174865 IS,Active,PrismaticCase,850,70,335,140,4.8,4.1,3.65,2.5,1.1,10,0.5,124,52,5,0.58,0.5,'Nan',65,19,48,'Nan',2007,x,,11.2007,,CC-CV,'Nan',100
SDL-18452,SDL-18452,Saft,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,CylindricalCase,VL 48E,Active,CylindricalCase,500,80,300,150,48,4.1,3.6,2.5,4.8,100,'Nan',1150,572.265,48,4.8,'Nan','Nan','Nan',245,,54,2007,x,,09.2007,,CC-CV,'Nan',100
SDL-18653,SDL-18653,Saft,Lithium Iron Phosphate,LithiumIronPhosphate,CylindricalCase,VL 10VFE,Active,CylindricalCase,600,80,128,54,10,3.65,3.3,2.5,10,1500,'Nan',600,270,10,1,'Nan','Nan','Nan',173,,47,2007,x,,02.2007,,CC-CV,'Nan','Nan'
SDL-18654,SDL-18654,Saft,Lithium Iron Phosphate,LithiumIronPhosphate,CylindricalCase,VL 25PFE,Active,CylindricalCase,2500,75,189,89,25,3.65,3.3,2.5,25,500,0.5,940,451.3401,12.5,5,0.5,'Nan','Nan',195,,54,2007,x,,08.2007,,CC-CV,'Nan','Nan'
SDL-20110,SDL-20110,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP6545135,Active,PrismaticCase,500,80,'Nan','Nan',3.8,4.2,3.7,2.7,0.76,7.6,0.5,82,39.4875,1.75,0.76,0.5,'Nan',135,6.5,45,'Nan',,x,,-,,CC-CV,'Nan','Nan'
SDL-20112a,SDL-20112,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP8545135-PCM-LD,Active,PrismaticCase,500,80,'Nan','Nan',5.6,4.2,3.7,2.7,1.12,11.2,0.5,105,51.6375,5.6,1.12,0.5,'Nan',135,8.5,45,'Nan',2015,x,,14.10.2015,,CC-CV,'Nan','Nan'
SDL-20112b,SDL-20112,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP8545135-PCM-LD,Active,PrismaticCase,800,80,'Nan','Nan',5.6,4.2,3.7,2.7,1.12,11.2,0.2,105,51.6375,5.6,1.12,0.2,'Nan',135,8.5,45,'Nan',2015,x,,14.10.2015,,CC-CV,'Nan','Nan'
SDL-20131a,SDL-20131,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP6548166,Active,PrismaticCase,500,80,'Nan','Nan',5.6,4.2,3.7,2.7,1.12,11.2,0.5,112,51.792,5.6,1.12,0.5,'Nan',166,6.5,48,'Nan',2018,x,,03.11.2020,,CC-CV,'Nan','Nan'
SDL-20131b,SDL-20131,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP6548166,Active,PrismaticCase,800,80,'Nan','Nan',5.6,4.2,3.7,2.7,1.12,11.2,0.2,112,51.792,5.6,1.12,0.2,'Nan',166,6.5,48,'Nan',2018,x,,03.11.2020,,CC-CV,'Nan','Nan'
SDL-20132a,SDL-20132,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP6848166,Active,PrismaticCase,500,80,'Nan','Nan',5.2,4.2,3.7,2.7,1.04,10.4,0.5,110,54.1824,5.2,1.04,0.5,'Nan',166,6.8,48,'Nan',2017,x,,03.11.2020,,CC-CV,'Nan','Nan'
SDL-20132b,SDL-20132,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP6848166,Active,PrismaticCase,800,80,'Nan','Nan',5.2,4.2,3.7,2.7,1.04,10.4,0.2,110,54.1824,5.2,1.04,0.2,'Nan',166,6.8,48,'Nan',2017,x,,03.11.2020,,CC-CV,'Nan','Nan'
SDL-20133a,SDL-20133,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP7548166,Active,PrismaticCase,500,80,'Nan','Nan',6.2,4.2,3.7,2.7,1.24,12.4,0.5,124.5,59.76,6.2,1.24,0.5,'Nan',166,7.5,48,'Nan',2017,x,,28.07.2017,,CC-CV,'Nan','Nan'
SDL-20133b,SDL-20133,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP7548166,Active,PrismaticCase,800,80,'Nan','Nan',6.2,4.2,3.7,2.7,1.24,12.4,0.2,124.5,59.76,6.2,1.24,0.2,'Nan',166,7.5,48,'Nan',2017,x,,28.07.2017,,CC-CV,'Nan','Nan'
SDL-20149a,SDL-20149,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP855085-PCM-NTC-LD,Active,PrismaticCase,500,80,'Nan','Nan',3.9,4.2,3.7,2.7,0.78,7.8,0.5,78,36.125,3.9,0.78,0.5,'Nan',85,8.5,50,'Nan',2015,x,,,,CC-CV,'Nan','Nan'
SDL-20149b,SDL-20149,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP855085-PCM-NTC-LD,Active,PrismaticCase,800,80,'Nan','Nan',3.9,4.2,3.7,2.7,0.78,7.8,0.2,78,36.125,3.9,0.78,0.2,'Nan',85,8.5,50,'Nan',2015,x,,,,CC-CV,'Nan','Nan'
SDL-20153a,SDL-20153,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP9051109-PCM-NTC-LD,Active,PrismaticCase,500,80,'Nan','Nan',5.5,4.2,3.7,2.7,1.1,11,0.5,110,50.031,5.5,1.1,0.5,'Nan',109,9,51,'Nan',2018,x,,,,CC-CV,'Nan','Nan'
SDL-20153b,SDL-20153,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP9051109-PCM-NTC-LD,Active,PrismaticCase,800,80,'Nan','Nan',5.5,4.2,3.7,2.7,1.1,11,0.2,110,50.031,5.5,1.1,0.2,'Nan',109,9,51,'Nan',2018,x,,,,CC-CV,'Nan','Nan'
SDL-20180a,SDL-20180,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP925572,Active,PrismaticCase,500,80,'Nan','Nan',4,4.2,3.7,2.7,0.8,8,0.5,72,36.432,4,0.8,0.5,'Nan',72,9.2,55,'Nan',2017,x,,14.07.2017,,CC-CV,'Nan','Nan'
SDL-20180b,SDL-20180,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP925572,Active,PrismaticCase,800,80,'Nan','Nan',4,4.2,3.7,2.7,0.8,8,0.2,72,36.432,4,0.8,0.2,'Nan',72,9.2,55,'Nan',2017,x,,14.07.2017,,CC-CV,'Nan','Nan'
SDL-20209a,SDL-20209,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP956167-PCM-LD,Active,PrismaticCase,500,80,'Nan','Nan',4,4.2,3.7,2.7,0.8,8,0.5,80,38.8265,4,0.8,0.5,'Nan',67,9.5,61,'Nan',2015,x,,23.09.2015,,CC-CV,'Nan','Nan'
SDL-20209b,SDL-20209,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP956167-PCM-LD,Active,PrismaticCase,800,80,'Nan','Nan',4,4.2,3.7,2.7,0.8,8,0.2,80,38.8265,4,0.8,0.2,'Nan',67,9.5,61,'Nan',2015,x,,23.09.2015,,CC-CV,'Nan','Nan'
SDL-20211a,SDL-20211,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP656194-PCM-LD,Active,PrismaticCase,500,80,'Nan','Nan',4,4.2,3.7,2.7,0.8,8,0.5,80,37.271,4,0.8,0.5,'Nan',94,6.5,61,'Nan',2015,x,,21.01.2015,,CC-CV,'Nan','Nan'
SDL-20211b,SDL-20211,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP656194-PCM-LD,Active,PrismaticCase,800,80,'Nan','Nan',4,4.2,3.7,2.7,0.8,8,0.2,80,37.271,4,0.8,0.2,'Nan',94,6.5,61,'Nan',2015,x,,21.01.2015,,CC-CV,'Nan','Nan'
SDL-20223a,SDL-20223,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP857062-PCM-NTC-LD ,Active,PrismaticCase,500,80,'Nan','Nan',3.8,4.2,3.7,2.7,0.76,7.6,0.5,71.5,36.89,3.8,0.76,0.5,'Nan',70,8.5,62,'Nan',2015,x,,04.03.2015,,CC-CV,'Nan','Nan'
